Data de Recebimento;Tipo de Recebimento;Nome do Arquivo;Lote;Tipo da Ficha;CNES Emitente;UUID;Versão;Registro da Ficha;Validações de Regras Negócio;Validações de Campos Obrigatórios;Erros Estruturais
"15/11/2022 04:46";"ARQUIVO";"lotevisitasdomiciliares-08-11-2022_5.zip";"1667920768";"CDS Ficha de Visita Domiciliar";"2204045";"2204045-18e2cc1d-8bd1-4af5-adda-4cc8c4cd145a";"4.3.2";"1";"0: dadoSerializado: visitasDomiciliares: 1: motivosVisita: Conforme as regras de preenchimento da ficha, este campo não pode ser preenchido
";"-";"-"
"15/11/2022 04:46";"ARQUIVO";"lotevisitasdomiciliares-08-11-2022_5.zip";"1667920768";"CDS Ficha de Visita Domiciliar";"2204045";"2204045-18e2cc1d-8bd1-4af5-adda-4cc8c4cd145a";"4.3.2";"0";"-";"-";"-"
"15/11/2022 04:46";"ARQUIVO";"lotevisitasdomiciliares-08-11-2022_5.zip";"1667920768";"CDS Ficha de Visita Domiciliar";"2204045";"2204045-22b0d0d0-8cf3-4ed0-889e-3cd9cc77efbc";"4.3.8";"0";"-";"-";"-"
"15/11/2022 04:46";"ARQUIVO";"lotevisitasdomiciliares-08-11-2022_5.zip";"1667920768";"CDS Ficha de Visita Domiciliar";"2204045";"2204045-22b0d0d0-8cf3-4ed0-889e-3cd9cc77efbc";"4.3.8";"1";"0: dadoSerializado: visitasDomiciliares: 1: cnsCidadao: Conforme as regras de preenchimento da ficha, este campo não pode ser preenchido
0: dadoSerializado: visitasDomiciliares: 1: dtNascimento: Conforme as regras de preenchimento da ficha, este campo não pode ser preenchido
0: dadoSerializado: visitasDomiciliares: 1: sexo: Conforme as regras de preenchimento da ficha, este campo não pode ser preenchido
0: dadoSerializado: visitasDomiciliares: 1: motivosVisita: Conforme as regras de preenchimento da ficha, este campo não pode ser preenchido
";"-";"-"
"15/11/2022 04:46";"ARQUIVO";"lotevisitasdomiciliares-08-11-2022_5.zip";"1667920768";"CDS Ficha de Visita Domiciliar";"2204045";"2204045-db0c4a6b-e599-4594-82ca-05c88b89c2c8";"4.3.8";"1";"0: dadoSerializado: visitasDomiciliares: 1: motivosVisita: Conforme as regras de preenchimento da ficha, este campo não pode ser preenchido
";"-";"-"
"15/11/2022 04:46";"ARQUIVO";"lotevisitasdomiciliares-08-11-2022_5.zip";"1667920768";"CDS Ficha de Visita Domiciliar";"2204045";"2204045-db0c4a6b-e599-4594-82ca-05c88b89c2c8";"4.3.8";"0";"-";"-";"-"
"15/11/2022 04:46";"ARQUIVO";"lotevisitasdomiciliares-08-11-2022_5.zip";"1667920768";"CDS Ficha de Visita Domiciliar";"2204045";"2204045-e40a6a8d-aaa1-4478-9096-0508464b4dbb";"4.3.8";"0";"-";"-";"-"
"15/11/2022 04:46";"ARQUIVO";"lotevisitasdomiciliares-08-11-2022_5.zip";"1667920768";"CDS Ficha de Visita Domiciliar";"2204045";"2204045-e40a6a8d-aaa1-4478-9096-0508464b4dbb";"4.3.8";"1";"0: dadoSerializado: visitasDomiciliares: 1: cnsCidadao: Conforme as regras de preenchimento da ficha, este campo não pode ser preenchido
0: dadoSerializado: visitasDomiciliares: 1: dtNascimento: Conforme as regras de preenchimento da ficha, este campo não pode ser preenchido
0: dadoSerializado: visitasDomiciliares: 1: sexo: Conforme as regras de preenchimento da ficha, este campo não pode ser preenchido
0: dadoSerializado: visitasDomiciliares: 1: motivosVisita: Conforme as regras de preenchimento da ficha, este campo não pode ser preenchido
";"-";"-"
"15/11/2022 04:46";"ARQUIVO";"lotevisitasdomiciliares-08-11-2022_5.zip";"1667920768";"CDS Ficha de Visita Domiciliar";"2203987";"2203987-ebbcdd4a-f776-451a-abc2-2be0d5387c79";"4.3.8";"-";"-";"-";"Duplicadas: 1"
"15/11/2022 04:46";"ARQUIVO";"lotevisitasdomiciliares-08-11-2022_5.zip";"1667920768";"CDS Ficha de Visita Domiciliar";"7655177";"7655177-214cc253-8983-4e6b-9655-c1fc62918d4f";"4.3.2";"-";"-";"-";"Duplicadas: 1"
